,0,1,2,3,4,5,6,7,Filter_1_Value_1,Filter_1_dontcares_1
0,0,0,0,0,0,0,0,0,True,False
1,0,0,0,0,0,0,0,1,True,False
2,0,0,0,0,0,0,1,0,True,False
3,0,0,0,0,0,0,1,1,False,True
4,0,0,0,0,0,1,0,0,True,False
5,0,0,0,0,0,1,0,1,True,True
6,0,0,0,0,0,1,1,0,True,True
7,0,0,0,0,0,1,1,1,False,True
8,0,0,0,0,1,0,0,0,True,False
9,0,0,0,0,1,0,0,1,False,True
10,0,0,0,0,1,0,1,0,False,True
11,0,0,0,0,1,0,1,1,False,True
12,0,0,0,0,1,1,0,0,True,True
13,0,0,0,0,1,1,0,1,False,True
14,0,0,0,0,1,1,1,0,False,True
15,0,0,0,0,1,1,1,1,False,True
16,0,0,0,1,0,0,0,0,False,False
17,0,0,0,1,0,0,0,1,False,True
18,0,0,0,1,0,0,1,0,False,True
19,0,0,0,1,0,0,1,1,False,True
20,0,0,0,1,0,1,0,0,False,True
21,0,0,0,1,0,1,0,1,False,True
22,0,0,0,1,0,1,1,0,False,True
23,0,0,0,1,0,1,1,1,False,True
24,0,0,0,1,1,0,0,0,False,True
25,0,0,0,1,1,0,0,1,False,True
26,0,0,0,1,1,0,1,0,False,True
27,0,0,0,1,1,0,1,1,False,True
28,0,0,0,1,1,1,0,0,False,True
29,0,0,0,1,1,1,0,1,False,True
30,0,0,0,1,1,1,1,0,False,True
31,0,0,0,1,1,1,1,1,False,True
32,0,0,1,0,0,0,0,0,False,False
33,0,0,1,0,0,0,0,1,False,False
34,0,0,1,0,0,0,1,0,False,False
35,0,0,1,0,0,0,1,1,False,True
36,0,0,1,0,0,1,0,0,False,False
37,0,0,1,0,0,1,0,1,False,True
38,0,0,1,0,0,1,1,0,False,True
39,0,0,1,0,0,1,1,1,False,True
40,0,0,1,0,1,0,0,0,False,False
41,0,0,1,0,1,0,0,1,False,True
42,0,0,1,0,1,0,1,0,False,True
43,0,0,1,0,1,0,1,1,False,True
44,0,0,1,0,1,1,0,0,False,True
45,0,0,1,0,1,1,0,1,False,True
46,0,0,1,0,1,1,1,0,False,True
47,0,0,1,0,1,1,1,1,False,True
48,0,0,1,1,0,0,0,0,False,False
49,0,0,1,1,0,0,0,1,False,True
50,0,0,1,1,0,0,1,0,False,True
51,0,0,1,1,0,0,1,1,False,True
52,0,0,1,1,0,1,0,0,False,True
53,0,0,1,1,0,1,0,1,False,True
54,0,0,1,1,0,1,1,0,False,True
55,0,0,1,1,0,1,1,1,False,True
56,0,0,1,1,1,0,0,0,False,True
57,0,0,1,1,1,0,0,1,False,True
58,0,0,1,1,1,0,1,0,False,True
59,0,0,1,1,1,0,1,1,False,True
60,0,0,1,1,1,1,0,0,False,True
61,0,0,1,1,1,1,0,1,False,True
62,0,0,1,1,1,1,1,0,False,True
63,0,0,1,1,1,1,1,1,False,True
64,0,1,0,0,0,0,0,0,False,False
65,0,1,0,0,0,0,0,1,False,False
66,0,1,0,0,0,0,1,0,False,False
67,0,1,0,0,0,0,1,1,False,True
68,0,1,0,0,0,1,0,0,False,False
69,0,1,0,0,0,1,0,1,False,True
70,0,1,0,0,0,1,1,0,False,True
71,0,1,0,0,0,1,1,1,False,True
72,0,1,0,0,1,0,0,0,False,False
73,0,1,0,0,1,0,0,1,False,True
74,0,1,0,0,1,0,1,0,False,True
75,0,1,0,0,1,0,1,1,False,True
76,0,1,0,0,1,1,0,0,False,True
77,0,1,0,0,1,1,0,1,False,True
78,0,1,0,0,1,1,1,0,False,True
79,0,1,0,0,1,1,1,1,False,True
80,0,1,0,1,0,0,0,0,False,False
81,0,1,0,1,0,0,0,1,False,True
82,0,1,0,1,0,0,1,0,False,True
83,0,1,0,1,0,0,1,1,False,True
84,0,1,0,1,0,1,0,0,False,True
85,0,1,0,1,0,1,0,1,False,True
86,0,1,0,1,0,1,1,0,False,True
87,0,1,0,1,0,1,1,1,False,True
88,0,1,0,1,1,0,0,0,False,True
89,0,1,0,1,1,0,0,1,False,True
90,0,1,0,1,1,0,1,0,False,True
91,0,1,0,1,1,0,1,1,False,True
92,0,1,0,1,1,1,0,0,False,True
93,0,1,0,1,1,1,0,1,False,True
94,0,1,0,1,1,1,1,0,False,True
95,0,1,0,1,1,1,1,1,False,True
96,0,1,1,0,0,0,0,0,False,True
97,0,1,1,0,0,0,0,1,False,True
98,0,1,1,0,0,0,1,0,False,True
99,0,1,1,0,0,0,1,1,False,True
100,0,1,1,0,0,1,0,0,False,True
101,0,1,1,0,0,1,0,1,False,True
102,0,1,1,0,0,1,1,0,False,True
103,0,1,1,0,0,1,1,1,False,True
104,0,1,1,0,1,0,0,0,False,True
105,0,1,1,0,1,0,0,1,False,True
106,0,1,1,0,1,0,1,0,False,True
107,0,1,1,0,1,0,1,1,False,True
108,0,1,1,0,1,1,0,0,False,True
109,0,1,1,0,1,1,0,1,False,True
110,0,1,1,0,1,1,1,0,False,True
111,0,1,1,0,1,1,1,1,False,True
112,0,1,1,1,0,0,0,0,False,True
113,0,1,1,1,0,0,0,1,False,True
114,0,1,1,1,0,0,1,0,False,True
115,0,1,1,1,0,0,1,1,False,True
116,0,1,1,1,0,1,0,0,False,True
117,0,1,1,1,0,1,0,1,False,True
118,0,1,1,1,0,1,1,0,False,True
119,0,1,1,1,0,1,1,1,False,True
120,0,1,1,1,1,0,0,0,False,True
121,0,1,1,1,1,0,0,1,False,True
122,0,1,1,1,1,0,1,0,False,True
123,0,1,1,1,1,0,1,1,False,True
124,0,1,1,1,1,1,0,0,False,True
125,0,1,1,1,1,1,0,1,False,True
126,0,1,1,1,1,1,1,0,False,True
127,0,1,1,1,1,1,1,1,False,True
128,1,0,0,0,0,0,0,0,False,False
129,1,0,0,0,0,0,0,1,False,False
130,1,0,0,0,0,0,1,0,False,False
131,1,0,0,0,0,0,1,1,False,True
132,1,0,0,0,0,1,0,0,False,False
133,1,0,0,0,0,1,0,1,False,True
134,1,0,0,0,0,1,1,0,False,True
135,1,0,0,0,0,1,1,1,False,True
136,1,0,0,0,1,0,0,0,False,False
137,1,0,0,0,1,0,0,1,False,True
138,1,0,0,0,1,0,1,0,False,True
139,1,0,0,0,1,0,1,1,False,True
140,1,0,0,0,1,1,0,0,False,True
141,1,0,0,0,1,1,0,1,False,True
142,1,0,0,0,1,1,1,0,False,True
143,1,0,0,0,1,1,1,1,False,True
144,1,0,0,1,0,0,0,0,False,False
145,1,0,0,1,0,0,0,1,False,True
146,1,0,0,1,0,0,1,0,False,True
147,1,0,0,1,0,0,1,1,False,True
148,1,0,0,1,0,1,0,0,False,True
