Class 0:

Weight	Rule
-0.0023762977216392756	0_Asian | 0_Caucasian & 0_Other | 0_Hispanic & 0_Other | 0_Other & 1_UnknownInvalid | 0_Other & ~0_AfricanAmerican | 0_Other & ~1_Male | 0_Other & ~2_10-20 | 0_Caucasian & 0_Hispanic & 1_UnknownInvalid | 0_Caucasian & 0_Hispanic & ~0_AfricanAmerican | 0_Caucasian & 0_Hispanic & ~1_Male | 0_Caucasian & 0_Hispanic & ~2_10-20 | 0_Caucasian & 1_UnknownInvalid & ~0_AfricanAmerican | 0_Caucasian & 1_UnknownInvalid & ~2_10-20 | 0_Caucasian & ~0_AfricanAmerican & ~1_Male | 0_Caucasian & ~0_AfricanAmerican & ~2_10-20 | 0_Caucasian & ~1_Male & ~2_10-20 | 0_Hispanic & 1_UnknownInvalid & ~0_AfricanAmerican & ~2_10-20 | 0_Hispanic & 1_UnknownInvalid & ~1_Male & ~2_10-20 | 0_Hispanic & ~0_AfricanAmerican & ~1_Male & ~2_10-20 | 1_UnknownInvalid & ~0_AfricanAmerican & ~1_Male & ~2_10-20
-0.038253653794527054	1_Male | 1_UnknownInvalid & 2_20-30 | 2_10-20 & 2_20-30 | 2_20-30 & 2_40-50 | 2_20-30 & ~0_Other | 2_20-30 & ~2_30-40 | 2_20-30 & ~2_50-60 | 1_UnknownInvalid & 2_10-20 & 2_40-50 | 1_UnknownInvalid & 2_10-20 & ~0_Other | 1_UnknownInvalid & 2_10-20 & ~2_30-40 | 1_UnknownInvalid & 2_10-20 & ~2_50-60 | 1_UnknownInvalid & 2_40-50 & ~0_Other | 1_UnknownInvalid & 2_40-50 & ~2_50-60 | 1_UnknownInvalid & ~0_Other & ~2_30-40 | 1_UnknownInvalid & ~0_Other & ~2_50-60 | 1_UnknownInvalid & ~2_30-40 & ~2_50-60 | 2_10-20 & 2_40-50 & ~0_Other & ~2_50-60 | 2_10-20 & 2_40-50 & ~2_30-40 & ~2_50-60 | 2_10-20 & ~0_Other & ~2_30-40 & ~2_50-60 | 2_40-50 & ~0_Other & ~2_30-40 & ~2_50-60
-0.01090291142463684	2_30-40 | 2_40-50 & 2_60-70 | 2_50-60 & 2_60-70 | 2_60-70 & 2_80-90 | 2_60-70 & ~2_20-30 | 2_60-70 & ~2_70-80 | 2_60-70 & ~2_90-100 | 2_40-50 & 2_50-60 & 2_80-90 | 2_40-50 & 2_50-60 & ~2_20-30 | 2_40-50 & 2_50-60 & ~2_70-80 | 2_40-50 & 2_50-60 & ~2_90-100 | 2_40-50 & 2_80-90 & ~2_20-30 | 2_40-50 & 2_80-90 & ~2_90-100 | 2_40-50 & ~2_20-30 & ~2_70-80 | 2_40-50 & ~2_20-30 & ~2_90-100 | 2_40-50 & ~2_70-80 & ~2_90-100 | 2_50-60 & 2_80-90 & ~2_20-30 & ~2_90-100 | 2_50-60 & 2_80-90 & ~2_70-80 & ~2_90-100 | 2_50-60 & ~2_20-30 & ~2_70-80 & ~2_90-100 | 2_80-90 & ~2_20-30 & ~2_70-80 & ~2_90-100
-0.0615706741809845	2_70-80 | 2_80-90 & 3_? | 2_90-100 & 3_? | 3_? & 3_[100-125) | 3_? & ~2_60-70 | 3_? & ~3_[0-25) | 3_? & ~3_[125-150) | 2_80-90 & 2_90-100 & 3_[100-125) | 2_80-90 & 2_90-100 & ~2_60-70 | 2_80-90 & 2_90-100 & ~3_[0-25) | 2_80-90 & 2_90-100 & ~3_[125-150) | 2_80-90 & 3_[100-125) & ~2_60-70 | 2_80-90 & 3_[100-125) & ~3_[125-150) | 2_80-90 & ~2_60-70 & ~3_[0-25) | 2_80-90 & ~2_60-70 & ~3_[125-150) | 2_80-90 & ~3_[0-25) & ~3_[125-150) | 2_90-100 & 3_[100-125) & ~2_60-70 & ~3_[125-150) | 2_90-100 & 3_[100-125) & ~3_[0-25) & ~3_[125-150) | 2_90-100 & ~2_60-70 & ~3_[0-25) & ~3_[125-150) | 3_[100-125) & ~2_60-70 & ~3_[0-25) & ~3_[125-150)
-0.00778906000778079	3_[0-25) | 3_[100-125) & 3_[150-175) | 3_[125-150) & 3_[150-175) | 3_[150-175) & 3_[25-50) | 3_[150-175) & ~3_? | 3_[150-175) & ~3_[175-200) | 3_[150-175) & ~3_[50-75) | 3_[100-125) & 3_[125-150) & 3_[25-50) | 3_[100-125) & 3_[125-150) & ~3_? | 3_[100-125) & 3_[125-150) & ~3_[175-200) | 3_[100-125) & 3_[125-150) & ~3_[50-75) | 3_[100-125) & 3_[25-50) & ~3_? | 3_[100-125) & 3_[25-50) & ~3_[50-75) | 3_[100-125) & ~3_? & ~3_[175-200) | 3_[100-125) & ~3_? & ~3_[50-75) | 3_[100-125) & ~3_[175-200) & ~3_[50-75) | 3_[125-150) & 3_[25-50) & ~3_? & ~3_[50-75) | 3_[125-150) & 3_[25-50) & ~3_[175-200) & ~3_[50-75) | 3_[125-150) & ~3_? & ~3_[175-200) & ~3_[50-75) | 3_[25-50) & ~3_? & ~3_[175-200) & ~3_[50-75)
-0.0664835125207901	3_[175-200) | 3_[25-50) & 3_[75-100) | 3_[50-75) & 3_[75-100) | 3_[75-100) & 4_3 | 3_[75-100) & ~3_[150-175) | 3_[75-100) & ~4_2 | 3_[75-100) & ~4_4 | 3_[25-50) & 3_[50-75) & 4_3 | 3_[25-50) & 3_[50-75) & ~3_[150-175) | 3_[25-50) & 3_[50-75) & ~4_2 | 3_[25-50) & 3_[50-75) & ~4_4 | 3_[25-50) & 4_3 & ~3_[150-175) | 3_[25-50) & 4_3 & ~4_4 | 3_[25-50) & ~3_[150-175) & ~4_2 | 3_[25-50) & ~3_[150-175) & ~4_4 | 3_[25-50) & ~4_2 & ~4_4 | 3_[50-75) & 4_3 & ~3_[150-175) & ~4_4 | 3_[50-75) & 4_3 & ~4_2 & ~4_4 | 3_[50-75) & ~3_[150-175) & ~4_2 & ~4_4 | 4_3 & ~3_[150-175) & ~4_2 & ~4_4
-0.11479420959949493	4_2 | 4_3 & 4_5 | 4_4 & 4_5 | 4_5 & 4_7 | 4_5 & ~3_[75-100) | 4_5 & ~4_6 | 4_5 & ~4_8 | 4_3 & 4_4 & 4_7 | 4_3 & 4_4 & ~3_[75-100) | 4_3 & 4_4 & ~4_6 | 4_3 & 4_4 & ~4_8 | 4_3 & 4_7 & ~3_[75-100) | 4_3 & 4_7 & ~4_8 | 4_3 & ~3_[75-100) & ~4_6 | 4_3 & ~3_[75-100) & ~4_8 | 4_3 & ~4_6 & ~4_8 | 4_4 & 4_7 & ~3_[75-100) & ~4_8 | 4_4 & 4_7 & ~4_6 & ~4_8 | 4_4 & ~3_[75-100) & ~4_6 & ~4_8 | 4_7 & ~3_[75-100) & ~4_6 & ~4_8
-0.037821702659130096	4_6 | 4_7 & 5_2 | 4_8 & 5_2 | 5_2 & 5_4 | 5_2 & ~4_5 | 5_2 & ~5_3 | 5_2 & ~5_5 | 4_7 & 4_8 & 5_4 | 4_7 & 4_8 & ~4_5 | 4_7 & 4_8 & ~5_3 | 4_7 & 4_8 & ~5_5 | 4_7 & 5_4 & ~4_5 | 4_7 & 5_4 & ~5_5 | 4_7 & ~4_5 & ~5_3 | 4_7 & ~4_5 & ~5_5 | 4_7 & ~5_3 & ~5_5 | 4_8 & 5_4 & ~4_5 & ~5_5 | 4_8 & 5_4 & ~5_3 & ~5_5 | 4_8 & ~4_5 & ~5_3 & ~5_5 | 5_4 & ~4_5 & ~5_3 & ~5_5
-0.10411009937524796	5_3 | 5_4 & 5_6 | 5_5 & 5_6 | 5_6 & 5_8 | 5_6 & ~5_2 | 5_6 & ~5_7 | 5_6 & ~5_9 | 5_4 & 5_5 & 5_8 | 5_4 & 5_5 & ~5_2 | 5_4 & 5_5 & ~5_7 | 5_4 & 5_5 & ~5_9 | 5_4 & 5_8 & ~5_2 | 5_4 & 5_8 & ~5_9 | 5_4 & ~5_2 & ~5_7 | 5_4 & ~5_2 & ~5_9 | 5_4 & ~5_7 & ~5_9 | 5_5 & 5_8 & ~5_2 & ~5_9 | 5_5 & 5_8 & ~5_7 & ~5_9 | 5_5 & ~5_2 & ~5_7 & ~5_9 | 5_8 & ~5_2 & ~5_7 & ~5_9
0.23281395435333252	5_7 | 5_8 & 5_10 | 5_9 & 5_10 | 5_10 & 5_12 | 5_10 & ~5_6 | 5_10 & ~5_11 | 5_10 & ~5_13 | 5_8 & 5_9 & 5_12 | 5_8 & 5_9 & ~5_6 | 5_8 & 5_9 & ~5_11 | 5_8 & 5_9 & ~5_13 | 5_8 & 5_12 & ~5_6 | 5_8 & 5_12 & ~5_13 | 5_8 & ~5_6 & ~5_11 | 5_8 & ~5_6 & ~5_13 | 5_8 & ~5_11 & ~5_13 | 5_9 & 5_12 & ~5_6 & ~5_13 | 5_9 & 5_12 & ~5_11 & ~5_13 | 5_9 & ~5_6 & ~5_11 & ~5_13 | 5_12 & ~5_6 & ~5_11 & ~5_13
